                  artist_id                        name    follower  \
0                      None                        None         NaN   
1    1uNFoZAHBGtllmzznpCI3s               Justin Bieber  15473758.0   
2    13y7CgLHjMVRMDqxdx0Xdo                  Gucci Mane   1489169.0   
3    5rSXSAkZ67PYJSvpUpkOr7             Backstreet Boys   1114549.0   
4    3wyVrVrFCkukjdVIdirGVY                    Lil Pump   1431881.0   
5    6fOMl44jA4Sp5b9PpYCkzz                          NF    540582.0   
6    3BmGtnKgCSGYIUhmivXKWX              Kelly Clarkson   2214917.0   
7    718COspgdWOnwOFpJHRZHS                  Luke Combs    157163.0   
8    20JZFwl6HVl6yg8a4H3ZqK         Panic! At The Disco   3183668.0   
9    2ye2Wgw4gimLv2eAKyk1NB                   Metallica   4845874.0   
10   26VFTg2z8YR0cCuwLzESi2                      Halsey   2368131.0   
11   163tK9Wjr9P9DmM0AVK7lm                       Lorde   2706901.0   
12   6ZjFtWeHP9XN7FeKSUe80S                 Bing Crosby    149062.0   
13   1Mxqyy3pSjf8kZZL4QVxS0               Frank Sinatra   1898377.0   
14   0YWxKQj2Go9CGHCp77UOyy                    Fabolous    536183.0   
15   6cXMpsP9x0SH4kFfMyVezF                 Josh Groban    262797.0   
16   1anyVhU62p31KFi8MEzkbf           Chance The Rapper   2255446.0   
17   7wlFDEWiM5OoIAt8RSli8b  YoungBoy Never Broke Again    299427.0   
18   0LyfQWJT6nXafLPZqxe9Of             Various Artists    320960.0   
19   0LyfQWJT6nXafLPZqxe9Of             Various Artists    320960.0   
20   6XyY86QOPPrYVGvF9ch6wz                 Linkin Park   6358924.0   
21   3WrFJ7ztbogyGnTHbHJFl2                 The Beatles   5192226.0   
22   0u2FHSq3ln94y5Q57xazwf                 Keith Urban   1562695.0   
23   53XhwfbYqKCa1cC15pYq2q             Imagine Dragons   6536664.0   
24   5ZS223C6JyBfXasXxrRqOk                  Jhene Aiko   1277962.0   
25   1eEfMU2AhEo7XnKgL7c304                  Carpenters    333700.0   
26   4NpFxQe2UvRCAjto3JqlSl             Greta Van Fleet     88608.0   
27   5WUlDfRSoLAfcVSX1WnrxN                         Sia   5129393.0   
28   4kI8Ie27vjvonwaB2ePh8T           Portugal. The Man    534147.0   
29   4dpARuHxo51G3z768sgnrY                       Adele   7545765.0   
..                      ...                         ...         ...   
126  3JhNCzhSMTxs9WLGJJxWOY                  Macklemore    746220.0   
127  0xOeVMOz2fVg5BJY3N6akT                 Jaden Smith    200922.0   
128  3TVXtAsR1Inumwj472S9r4                       Drake  14510481.0   
129  1ZwdS5xdxEREPySFridCfh                        2Pac   3275774.0   
130  0du5cEVh5yTK9QJze8zA0C                  Bruno Mars   9131903.0   
131  1uNFoZAHBGtllmzznpCI3s               Justin Bieber  15473773.0   
132  5dr7fkIRO4K14g7U8SCue5                The Blasters     10576.0   
133  3vbKDsSS70ZX9D2OcvbZmS                        Beck    680400.0   
134  5K4W6rqBFWDnAN6FQUkS6x                  Kanye West   5984174.0   
135  2wY79sveU1sp5g7SokKOiI                   Sam Smith   4334410.0   
136  7dGJo4pcD2V6oG8kP0tJRR                      Eminem  12100059.0   
137  246dkjvS1zLTtiykXe5h60                 Post Malone   2157030.0   
138  4mxWe1mtYIYfP040G38yvS                Alan Jackson    638369.0   
139  4YLtscXsxbVgi031ovDDdh             Chris Stapleton    543611.0   
140  0LyfQWJT6nXafLPZqxe9Of             Various Artists    320960.0   
141  1KCSPY1glIKqW2TotWuXOR                        P!nk   3196542.0   
142  3e7awlrlDSwF3iM0WBjGMp                  Little Mix   3056799.0   
143  6Xgp2XMz1fhVYe7i6yNAax                Trippie Redd    240274.0   
144  4MoAOfV4ROWofLG3a3hhBN                   Jon Pardi    254619.0   
145  06HL4z0CvFAxyc27GXpf02                Taylor Swift   8356650.0   
146  2kucQ9jQwuD8jWdtR9Ef38                    Sam Hunt    898691.0   
147  7EK1bQADBoqbYXnT4Cqv9w                 John Denver    272395.0   
148  6I3M904Y9IwgDjrQ9pANiB                     Kenny G    245246.0   
149  2ye2Wgw4gimLv2eAKyk1NB                   Metallica   4845879.0   
150  1Xyo4u8uXC1ZmMpatF05PJ                  The Weeknd   8630658.0   
151  1RyvyyTE3xzB2ZywiAwp0i                      Future   4942161.0   
152  69GGBxA162lTqCwzJG5jLp            The Chainsmokers   4796616.0   
153  32vWCbZh0xZ4o9gkz4PsEU                Dolly Parton    420042.0   
154  21WS9wngs9AqFckK7yYJPM                    PnB Rock    758178.0   
155  4xRYI6VqpkE3UwrDrAZL8L                       Logic   1828943.0   

                                                 genre  \
0                                                 None   
1    [canadian pop, dance pop, pop, pop christmas, ...   
2    [dirty south rap, dwn trap, pop rap, rap, sout...   
3    [boy band, dance pop, europop, pop, pop christ...   
4     [dwn trap, rap, trap music, underground hip hop]   
5                                                   []   
6    [dance pop, neo mellow, pop, pop christmas, po...   
7        [contemporary country, country, country road]   
8            [emo, modern rock, pop punk, vegas indie]   
9    [alternative metal, alternative rock, hard roc...   
10   [dance pop, etherpop, indie poptimism, pop, po...   
11       [dance pop, metropopolis, pop, post-teen pop]   
12   [adult standards, big band, cabaret, christmas...   
13   [adult standards, christmas, easy listening, j...   
14   [crunk, dance pop, dirty south rap, gangster r...   
15   [adult standards, classify, operatic pop, pop ...   
16                                      [pop rap, rap]   
17       [dwn trap, rap, southern hip hop, trap music]   
18                                                  []   
19                                                  []   
20   [alternative metal, nu metal, post-grunge, rap...   
21   [british invasion, classic rock, merseybeat, p...   
22   [australian country, contemporary country, cou...   
23                     [modern rock, pop, vegas indie]   
24   [dance pop, deep indie r&b, deep pop r&b, hip ...   
25   [adult standards, brill building pop, christma...   
26                                                  []   
27                  [australian dance, dance pop, pop]   
28   [indie pop, indie rock, indietronica, modern r...   
29                     [dance pop, pop, post-teen pop]   
..                                                 ...   
126                                          [pop rap]   
127                                                 []   
128              [canadian pop, hip hop, pop rap, rap]   
129  [g funk, gangster rap, hip hop, pop rap, rap, ...   
130           [dance pop, pop, pop rap, post-teen pop]   
131  [canadian pop, dance pop, pop, pop christmas, ...   
132  [pub rock, rock-and-roll, rockabilly, roots ro...   
133  [alternative rock, anti-folk, blues-rock, elec...   
134                 [pop, pop christmas, pop rap, rap]   
135                                   [dance pop, pop]   
136   [detroit hip hop, g funk, hip hop, pop rap, rap]   
137                                     [pop rap, rap]   
138  [contemporary country, country, country christ...   
139      [contemporary country, country, country road]   
140                                                 []   
141                    [dance pop, pop, post-teen pop]   
142       [dance pop, pop, post-teen pop, talent show]   
143                                                 []   
144  [contemporary country, country, country road, ...   
145     [dance pop, pop, pop christmas, post-teen pop]   
146                             [contemporary country]   
147  [adult standards, country christmas, folk, fol...   
148                      [jazz christmas, smooth jazz]   
149  [alternative metal, alternative rock, hard roc...   
150                           [canadian pop, pop, rap]   
151       [pop rap, rap, southern hip hop, trap music]   
152                         [edm, pop, tropical house]   
153  [country, country christmas, country dawn, tra...   
154  [dwn trap, pop rap, rap, southern hip hop, tra...   
155                                     [pop rap, rap]   

                 spotify_id  \
0                      None   
1    1uNFoZAHBGtllmzznpCI3s   
2    13y7CgLHjMVRMDqxdx0Xdo   
3    5rSXSAkZ67PYJSvpUpkOr7   
4    3wyVrVrFCkukjdVIdirGVY   
5    6fOMl44jA4Sp5b9PpYCkzz   
6    3BmGtnKgCSGYIUhmivXKWX   
7    718COspgdWOnwOFpJHRZHS   
8    20JZFwl6HVl6yg8a4H3ZqK   
9    2ye2Wgw4gimLv2eAKyk1NB   
10   26VFTg2z8YR0cCuwLzESi2   
11   163tK9Wjr9P9DmM0AVK7lm   
12   6ZjFtWeHP9XN7FeKSUe80S   
13   1Mxqyy3pSjf8kZZL4QVxS0   
14   0YWxKQj2Go9CGHCp77UOyy   
15   6cXMpsP9x0SH4kFfMyVezF   
16   1anyVhU62p31KFi8MEzkbf   
17   7wlFDEWiM5OoIAt8RSli8b   
18   0LyfQWJT6nXafLPZqxe9Of   
19   0LyfQWJT6nXafLPZqxe9Of   
20   6XyY86QOPPrYVGvF9ch6wz   
21   3WrFJ7ztbogyGnTHbHJFl2   
22   0u2FHSq3ln94y5Q57xazwf   
23   53XhwfbYqKCa1cC15pYq2q   
24   5ZS223C6JyBfXasXxrRqOk   
25   1eEfMU2AhEo7XnKgL7c304   
26   4NpFxQe2UvRCAjto3JqlSl   
27   5WUlDfRSoLAfcVSX1WnrxN   
28   4kI8Ie27vjvonwaB2ePh8T   
29   4dpARuHxo51G3z768sgnrY   
..                      ...   
126  3JhNCzhSMTxs9WLGJJxWOY   
127  0xOeVMOz2fVg5BJY3N6akT   
128  3TVXtAsR1Inumwj472S9r4   
129  1ZwdS5xdxEREPySFridCfh   
130  0du5cEVh5yTK9QJze8zA0C   
131  1uNFoZAHBGtllmzznpCI3s   
132  5dr7fkIRO4K14g7U8SCue5   
133  3vbKDsSS70ZX9D2OcvbZmS   
134  5K4W6rqBFWDnAN6FQUkS6x   
135  2wY79sveU1sp5g7SokKOiI   
136  7dGJo4pcD2V6oG8kP0tJRR   
137  246dkjvS1zLTtiykXe5h60   
