song_id,Song_name,Artist_name,Artist_id,album_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,Disc_Number,track_number
1bhUWB0zJMIKr9yVPrkEuI,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,['52kvZcbEDm0v2kWZQXjuuA'],0.587,0.299,8,-7.365,1,0.0263,0.779,0,0.123,0.356,94.992,audio_features,259550,1,1
1bhUWB0zJMIKr9yVPrkEuI,Perfect Duet (Ed Sheeran & Beyoncé),Beyoncé,6vWDO969PvNqNYHIOW5v0m,['52kvZcbEDm0v2kWZQXjuuA'],0.587,0.299,8,-7.365,1,0.0263,0.779,0,0.123,0.356,94.992,audio_features,259550,1,1
1qwWYnZmgC6TtGMvO35hWg,Breathe,Lauv,5JZ7CnR6gTvEMKX4g70Amv,['1ycA4C1V0JcgDP3PirgzT3'],0.32,0.393,4,-8.08,1,0.039,0.728,0,0.341,0.193,136.746,audio_features,237810,1,1
11Chb2CE2SIRZMdZHjIU3L,Little Drummer Boy - Lema x Savi Remix,Pentatonix,26AHtbjWKiwYzsoGoUZq53,['5rVwzVWmqQLPMic0iQcpq6'],0.566,0.888,8,-2.547,1,0.0551,0.0157,0,0.0786,0.524,143.056,audio_features,226573,1,1
11Chb2CE2SIRZMdZHjIU3L,Little Drummer Boy - Lema x Savi Remix,Lema,5lfEaMUzs0hZZ0nEC3HOqa,['5rVwzVWmqQLPMic0iQcpq6'],0.566,0.888,8,-2.547,1,0.0551,0.0157,0,0.0786,0.524,143.056,audio_features,226573,1,1
11Chb2CE2SIRZMdZHjIU3L,Little Drummer Boy - Lema x Savi Remix,Savi,1H72fTOUAUl0WQ4kH5DPVW,['5rVwzVWmqQLPMic0iQcpq6'],0.566,0.888,8,-2.547,1,0.0551,0.0157,0,0.0786,0.524,143.056,audio_features,226573,1,1
3DOHaAnbepGzj86MePrU6Z,Come On - Saturday Club / 1963,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,['6inOkfdsIBoGyRtR3O8Gwj'],0.416,0.625,0,-10.332,1,0.0487,0.0134,1.67E-05,0.127,0.819,170.06,audio_features,122987,1,1
2lFXZ6pE7Rb85JJAaiAueA,The Greatest Gift,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,['57JZsVeZqBhukvZ9YOokyv'],0.498,0.266,7,-16.635,1,0.0393,0.995,0.862,0.0996,0.697,157.92,audio_features,111717,1,6
68WSNFPk5ML4y9Ks4hBxE5,Highspeed Sunrise,Digitalism,2fBURuq7FrlH6z5F92mpOl,['2kG6WBPm0bfWwIvk1eNvWm'],0.472,0.603,8,-10.018,1,0.0292,0.00189,0.961,0.125,0.0582,125.05,audio_features,172302,1,3
09gtDKL49tnLXMwN68D7JO,Boxes - Acoustic,The Goo Goo Dolls,2sil8z5kiy4r76CRTXxBCA,['7z93UaPhXkm2bMjoWltATK'],0.533,0.35,4,-8.802,1,0.0255,0.238,0,0.0894,0.281,100.595,audio_features,262187,1,1
